"id","name","subject_id"
1100,GENERAL AGRICULTURE,12
1101,AGRICULTURE PRODUCTION AND MANAGEMENT,12
1102,AGRICULTURAL ECONOMICS,12
1103,ANIMAL SCIENCES,12
1104,FOOD SCIENCE,12
1105,PLANT SCIENCE AND AGRONOMY,12
1106,SOIL SCIENCE,12
1199,MISCELLANEOUS AGRICULTURE,12
1302,FORESTRY,12
1303,NATURAL RESOURCES MANAGEMENT,12
6000,FINE ARTS,10
6001,DRAMA AND THEATER ARTS,10
6002,MUSIC,10
6003,VISUAL AND PERFORMING ARTS,10
6004,COMMERCIAL ART AND GRAPHIC DESIGN,10
6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,10
6007,STUDIO ARTS,10
6099,MISCELLANEOUS FINE ARTS,10
1301,ENVIRONMENTAL SCIENCE,5
3600,BIOLOGY,5
3601,BIOCHEMICAL SCIENCES,5
3602,BOTANY,5
3603,MOLECULAR BIOLOGY,5
3604,ECOLOGY,5
3605,GENETICS,5
3606,MICROBIOLOGY,5
3607,PHARMACOLOGY,5
3608,PHYSIOLOGY,5
3609,ZOOLOGY,5
3611,NEUROSCIENCE,5
3699,MISCELLANEOUS BIOLOGY,5
4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,5
6200,GENERAL BUSINESS,1
6201,ACCOUNTING,1
6202,ACTUARIAL SCIENCE,1
6203,BUSINESS MANAGEMENT AND ADMINISTRATION,1
6204,OPERATIONS LOGISTICS AND E-COMMERCE,1
6205,BUSINESS ECONOMICS,1
6206,MARKETING AND MARKETING RESEARCH,1
6207,FINANCE,1
6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,1
6210,INTERNATIONAL BUSINESS,1
6211,HOSPITALITY MANAGEMENT,1
6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,1
6299,MISCELLANEOUS BUSINESS and MEDICAL ADMINISTRATION,1
1901,COMMUNICATIONS,4
1902,JOURNALISM,4
1903,MASS MEDIA,4
1904,ADVERTISING AND PUBLIC RELATIONS,4
2001,COMMUNICATION TECHNOLOGIES,2
2100,COMPUTER AND INFORMATION SYSTEMS,2
2101,COMPUTER PROGRAMMING AND DATA PROCESSING,2
2102,COMPUTER SCIENCE,2
2105,INFORMATION SCIENCES,2
2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,2
2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,2
3700,MATHEMATICS,2
3701,APPLIED MATHEMATICS,2
3702,STATISTICS AND DECISION SCIENCE,2
4005,MATHEMATICS AND COMPUTER SCIENCE,2
2300,GENERAL EDUCATION,16
2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,16
2303,SCHOOL STUDENT COUNSELING,16
2304,ELEMENTARY EDUCATION,16
2305,MATHEMATICS TEACHER EDUCATION,16
2306,PHYSICAL AND HEALTH EDUCATION TEACHING,16
2307,EARLY CHILDHOOD EDUCATION,16
2308,SCIENCE AND COMPUTER TEACHER EDUCATION,16
2309,SECONDARY TEACHER EDUCATION,16
2310,SPECIAL NEEDS EDUCATION,16
2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,16
2312,TEACHER EDUCATION: MULTIPLE LEVELS,16
2313,LANGUAGE AND DRAMA EDUCATION,16
2314,ART AND MUSIC EDUCATION,16
2399,MISCELLANEOUS EDUCATION,16
3501,LIBRARY SCIENCE,16
1401,ARCHITECTURE,7
2400,GENERAL ENGINEERING,7
2401,AEROSPACE ENGINEERING,7
2402,BIOLOGICAL ENGINEERING,7
2403,ARCHITECTURAL ENGINEERING,7
2404,BIOMEDICAL ENGINEERING,7
2405,CHEMICAL ENGINEERING,7
2406,CIVIL ENGINEERING,7
2407,COMPUTER ENGINEERING,7
2408,ELECTRICAL ENGINEERING,7
2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,7
2410,ENVIRONMENTAL ENGINEERING,7
2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,7
2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,7
2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,7
2414,MECHANICAL ENGINEERING,7
2415,METALLURGICAL ENGINEERING,7
2416,MINING AND MINERAL ENGINEERING,7
2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,7
2418,NUCLEAR ENGINEERING,7
2419,PETROLEUM ENGINEERING,7
2499,MISCELLANEOUS ENGINEERING,7
2500,ENGINEERING TECHNOLOGIES,7
2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,7
2502,ELECTRICAL ENGINEERING TECHNOLOGY,7
2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,7
2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,7
2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,7
5008,MATERIALS SCIENCE,7
4002,NUTRITION SCIENCES,9
6100,GENERAL MEDICAL AND HEALTH SERVICES,9
6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,9
6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,9
6104,MEDICAL ASSISTING SERVICES,9
6105,MEDICAL TECHNOLOGIES TECHNICIANS,9
6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,9
6107,NURSING,9
6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,9
6109,TREATMENT THERAPY PROFESSIONS,9
6110,COMMUNITY AND PUBLIC HEALTH,9
6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,9
1501,AREA ETHNIC AND CIVILIZATION STUDIES,11
2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,11
2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,11
2603,OTHER FOREIGN LANGUAGES,11
3301,ENGLISH LANGUAGE AND LITERATURE,11
3302,COMPOSITION AND RHETORIC,11
3401,LIBERAL ARTS,11
3402,HUMANITIES,11
4001,INTERCULTURAL AND INTERNATIONAL STUDIES,11
4801,PHILOSOPHY AND RELIGIOUS STUDIES,11
4901,THEOLOGY AND RELIGIOUS VOCATIONS,11
5502,ANTHROPOLOGY AND ARCHEOLOGY,11
6006,ART HISTORY AND CRITICISM,11
6402,HISTORY,11
6403,UNITED STATES HISTORY,11
2201,COSMETOLOGY SERVICES AND CULINARY ARTS,6
2901,FAMILY AND CONSUMER SCIENCES,6
3801,MILITARY TECHNOLOGIES,6
4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,6
5601,CONSTRUCTION SERVICES,6
5701,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",6
5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,6
4000,MULTI/INTERDISCIPLINARY STUDIES,15
3201,COURT REPORTING,8
3202,PRE-LAW AND LEGAL STUDIES,8
5301,CRIMINAL JUSTICE AND FIRE PROTECTION,8
5401,PUBLIC ADMINISTRATION,8
5402,PUBLIC POLICY,8
5000,PHYSICAL SCIENCES,14
5001,ASTRONOMY AND ASTROPHYSICS,14
5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,14
5003,CHEMISTRY,14
5004,GEOLOGY AND EARTH SCIENCE,14
5005,GEOSCIENCES,14
5006,OCEANOGRAPHY,14
5007,PHYSICS,14
5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,14
5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",14
5200,PSYCHOLOGY,3
5201,EDUCATIONAL PSYCHOLOGY,3
5202,CLINICAL PSYCHOLOGY,3
5203,COUNSELING PSYCHOLOGY,3
5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,3
5206,SOCIAL PSYCHOLOGY,3
5299,MISCELLANEOUS PSYCHOLOGY,3
5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,3
5404,SOCIAL WORK,3
4007,INTERDISCIPLINARY SOCIAL SCIENCES,13
5500,GENERAL SOCIAL SCIENCES,13
5501,ECONOMICS,13
5503,CRIMINOLOGY,13
5504,GEOGRAPHY,13
5505,INTERNATIONAL RELATIONS,13
5506,POLITICAL SCIENCE AND GOVERNMENT,13
5507,SOCIOLOGY,13
5599,MISCELLANEOUS SOCIAL SCIENCES,13
